chrom,start,end,label,length
chr1,13049615,13094765,YES,45151
chr1,34130107,34134640,YES,4534
chr1,36070190,36074608,YES,4419
chr1,36111164,36118698,YES,7535
chr1,37039139,37045411,YES,6273
chr1,72260528,72261272,YES,745
chr1,72839563,72858199,YES,18637
chr1,84857219,84887132,YES,29914
chr1,91766947,91773527,YES,6581
chr1,120538712,120545414,YES,6703
chr1,120971968,120973737,YES,1770
chr1,121201424,121202481,YES,1058
chr1,121295085,121296031,YES,947
chr1,137071028,137096284,YES,25257
chr1,138586629,138593131,YES,6503
chr1,138841643,138850970,YES,9328
chr1,154939892,154943709,YES,3818
chr1,168054897,168073079,YES,18183
chr1,169201106,169220423,YES,19318
chr1,182818684,182819554,YES,871
chr1,182854521,182864307,YES,9787
chr1,183948212,183961841,YES,13630
chr2,20574602,20591747,YES,17146
chr2,30913257,30925299,YES,12043
chr2,32008891,32030736,YES,21846
chr2,33282029,33300860,YES,18832
chr2,71488013,71494617,YES,6605
chr2,71575856,71583914,YES,8059
chr2,152002668,152003777,YES,1110
chr2,152552277,152563676,YES,11400
chr2,154242651,154254374,YES,11724
chr2,162856904,162860933,YES,4030
chr2,162877048,162893236,YES,16189
chr2,165981373,165983444,YES,2072
chr2,168589688,168617170,YES,27483
chr3,9641461,9655131,YES,13671
chr3,34544904,34553511,YES,8608
chr3,34633687,34660705,YES,27019
chr3,88375442,88380083,YES,4642
chr3,95455034,95468269,YES,13236
chr3,96380383,96382115,YES,1733
chr3,96479158,96484864,YES,5707
chr3,103008304,103019058,YES,10755
chr3,129247012,129261362,YES,14351
chr3,133181431,133197648,YES,16218
chr3,135208956,135210744,YES,1789
chr4,55469259,55491081,YES,21823
chr4,98507649,98514709,YES,7061
chr4,118743867,118745786,YES,1920
chr4,123300547,123303179,YES,2633
chr4,125211671,125223450,YES,11780
chr4,126875757,126879027,YES,3271
chr4,130178808,130180168,YES,1361
chr4,130195646,130196547,YES,902
chr4,137148873,137153839,YES,4967
chr4,137329436,137357766,YES,28331
chr4,138000554,138006368,YES,5815
chr4,140826072,140840922,YES,14851
chr4,141120768,141126477,YES,5710
chr4,141616653,141627603,YES,10951
chr4,141721916,141726166,YES,4251
chr4,147459254,147463850,YES,4597
chr4,154537213,154538078,YES,866
chr4,154563584,154564383,YES,800
chr5,33873714,33880481,YES,6768
chr5,53933177,53947327,YES,14151
chr5,65255735,65256794,YES,1060
chr5,113758941,113775389,YES,16449
chr5,116845764,116860853,YES,15090
chr5,118884660,118896412,YES,11753
chr5,118951444,118960269,YES,8826
chr5,120029649,120037063,YES,7415
chr5,120129592,120171482,YES,41891
chr5,123584659,123590728,YES,6070
chr5,135417523,135421698,YES,4176
chr6,31834643,31852445,YES,17803
chr6,39370384,39371286,YES,903
chr6,39395571,39396779,YES,1209
chr6,64961359,64985161,YES,23803
chr6,67061148,67064202,YES,3055
chr6,83839914,83844315,YES,4402
chr6,91640161,91661247,YES,21087
chr6,122290093,122293017,YES,2925
chr6,122612514,122614260,YES,1747
chr6,122640118,122657871,YES,17754
chr6,122714316,122720862,YES,6547
chr6,125383335,125398024,YES,14690
chr6,142458188,142461905,YES,3718
chr6,143047309,143065758,YES,18450
chr6,145223385,145225674,YES,2290
chr7,3193004,3218183,YES,25180
chr7,4772296,4777612,YES,5317
chr7,13599334,13600325,YES,992
chr7,30982397,30983339,YES,943
chr7,31248315,31250619,YES,2305
chr7,38812914,38816123,YES,3210
chr7,52806853,52814768,YES,7916
chr7,56592909,56604632,YES,11724
chr7,71092246,71102481,YES,10236
chr7,86355826,86368339,YES,12514
chr7,87159908,87169963,YES,10056
chr7,87274999,87276022,YES,1024
chr7,87333420,87345334,YES,11915
chr7,91027196,91051830,YES,24635
chr7,119831735,119835688,YES,3954
chr7,140304156,140307245,YES,3090
chr7,147131117,147136231,YES,5115
chr7,152036872,152050716,YES,13845
chr8,12499468,12504771,YES,5304
chr8,35023426,35027483,YES,4058
chr8,37602064,37613850,YES,11787
chr8,37642521,37671979,YES,29459
chr8,44405736,44406755,YES,1020
chr8,74834685,74840663,YES,5979
chr8,87174072,87174643,YES,572
chr8,87996475,87997654,YES,1180
chr8,91514813,91540176,YES,25364
chr8,93351924,93355292,YES,3369
chr9,56382386,56395769,YES,13384
chr9,58119837,58128504,YES,8668
chr9,78207143,78223442,YES,16300
chr9,110849422,110863371,YES,13950
chr9,114458126,114474355,YES,16230
chr9,120585871,120600072,YES,14202
chr9,121244501,121254102,YES,9602
chr10,20802131,20830236,YES,28106
chr10,21546502,21549691,YES,3190
chr10,21700576,21708946,YES,8371
chr10,39977900,39978752,YES,853
chr10,44110139,44112766,YES,2628
chr10,59420365,59437537,YES,17173
chr10,62346394,62361563,YES,15170
chr10,66380351,66383761,YES,3411
chr10,66546199,66564235,YES,18037
chr10,75335464,75345568,YES,10105
chr10,75400370,75401358,YES,989
chr10,76655655,76662360,YES,6706
chr10,79508474,79515168,YES,6695
chr10,85002060,85006553,YES,4494
chr11,8466451,8486876,YES,20426
chr11,9015537,9017663,YES,2127
chr11,12357626,12370205,YES,12580
chr11,33427175,33451476,YES,24302
chr11,52173182,52184686,YES,11505
chr11,54767341,54785832,YES,18492
chr11,62324296,62327251,YES,2956
chr11,66733372,66746990,YES,13619
chr11,66824791,66838230,YES,13440
chr11,69517060,69522803,YES,5744
chr11,77697704,77718786,YES,21083
chr11,88481360,88491812,YES,10453
chr11,97517673,97524159,YES,6487
chr11,98823511,98826466,YES,2956
chr11,102190649,102193692,YES,3044
chr11,104150171,104167544,YES,17374
chr11,107296669,107310982,YES,14314
chr11,116943025,116953583,YES,10559
chr11,117833701,117838253,YES,4553
chr12,12790432,12795881,YES,5450
chr12,12810177,12811020,YES,844
