chrom,start,end,label,length
chr1,173546863,173603397,YES,56535
chr1,51550444,51595294,YES,44851
chr1,129136535,129175213,YES,38679
chr1,182333835,182370079,YES,36245
chr1,146086094,146115839,YES,29746
chr1,93930774,93958787,YES,28014
chr1,64974508,65002478,YES,27971
chr1,84273121,84299817,YES,26697
chr1,151787259,151813309,YES,26051
chr1,39634244,39659844,YES,25601
chr1,153092007,153117199,YES,25193
chr1,193054156,193078898,YES,24743
chr1,172883085,172907776,YES,24692
chr1,167390774,167415338,YES,24565
chr1,109386076,109410536,YES,24461
chr1,45914779,45938891,YES,24113
chr1,168732046,168756020,YES,23975
chr1,172775490,172799091,YES,23602
chr1,92931108,92954536,YES,23429
chr1,179631916,179653817,YES,21902
chr1,37531469,37553326,YES,21858
chr1,72014160,72035023,YES,20864
chr1,130601554,130621681,YES,20128
chr1,97540047,97560062,YES,20016
chr1,91448812,91467574,YES,18763
chr1,173382646,173401389,YES,18744
chr1,140054871,140072339,YES,17469
chr1,156921927,156938834,YES,16908
chr1,92976683,92993482,YES,16800
chr1,129900814,129917565,YES,16752
chr1,178748646,178764438,YES,15793
chr1,192934665,192949885,YES,15221
chr1,64333460,64348641,YES,15182
chr1,135016352,135030682,YES,14331
chr1,99559329,99573270,YES,13942
chr1,158388709,158402478,YES,13770
chr1,84346648,84360340,YES,13693
chr1,135961430,135975067,YES,13638
chr1,80769088,80782286,YES,13199
chr1,154375913,154388313,YES,12401
chr1,155909636,155921857,YES,12222
chr1,182778512,182789521,YES,11010
chr1,80599751,80610436,YES,10686
chr1,172983240,172993803,YES,10564
chr1,99981250,99991706,YES,10457
chr1,71768493,71778246,YES,9754
chr1,129113041,129122326,YES,9286
chr1,175348728,175357947,YES,9220
chr1,132980196,132989192,YES,8997
chr1,127359419,127368120,YES,8702
chr1,193093177,193101856,YES,8680
chr1,184255941,184264605,YES,8665
chr1,164493399,164501814,YES,8416
chr1,80626751,80634883,YES,8133
chr1,172632382,172640157,YES,7776
chr1,58776645,58784401,YES,7757
chr1,53874723,53882197,YES,7475
chr1,168268759,168276162,YES,7404
chr1,65153489,65160697,YES,7209
chr1,140026709,140033741,YES,7033
chr1,186552603,186559626,YES,7024
chr1,172941606,172948358,YES,6753
chr1,80444269,80450992,YES,6724
chr1,173774002,173780395,YES,6394
chr1,82789657,82795905,YES,6249
