chrom,start,end,label,length
chr1,53870893,53913933,YES,43041
chr1,136179764,136204417,YES,24654
chr1,179553366,179576691,YES,23326
chr1,20645162,20668425,YES,23264
chr1,137886445,137904785,YES,18341
chr1,72998293,73016452,YES,18160
chr1,94672425,94687589,YES,15165
chr1,195015508,195030416,YES,14909
chr1,62872583,62885527,YES,12945
chr1,92619889,92631087,YES,11199
chr1,172585526,172595867,YES,10342
chr1,62820921,62831051,YES,10131
chr1,94595535,94605463,YES,9929
chr1,20614535,20624025,YES,9491
chr1,39803223,39811843,YES,8621
chr1,188223583,188231858,YES,8276
chr1,92053121,92061351,YES,8231
chr1,135789721,135797712,YES,7992
chr1,188013372,188021345,YES,7974
chr1,78528734,78536080,YES,7347
chr1,135967910,135974978,YES,7069
chr1,174063677,174070656,YES,6980
chr1,88330992,88337879,YES,6888
chr1,94240263,94245376,YES,5114
chr1,157077101,157081675,YES,4575
chr1,91010866,91014160,YES,3295
chr1,158933153,158935274,YES,2122
chr1,136091724,136093112,YES,1389
chr1,90660354,90661473,YES,1120
chr1,136141487,136142425,YES,939
chr1,130405285,130406031,YES,747
chr1,63285964,63286662,YES,699
chr1,130753461,130754049,YES,589
chr1,130340894,130341437,YES,544
chr1,90151328,90151869,YES,542
chr1,186746662,186747201,YES,540
chr1,134018421,134018934,YES,514
chr1,91435101,91435589,YES,489
chr1,194666834,194667320,YES,487
chr1,128522769,128523247,YES,479
chr1,12281898,12282350,YES,453
chr1,137963125,137963569,YES,445
chr1,64655688,64656106,YES,419
chr1,63441986,63442403,YES,418
chr1,186531772,186532186,YES,415
chr1,88947247,88947658,YES,412
chr10,128346637,128375944,YES,29308
chr10,88042561,88069122,YES,26562
chr10,94012730,94031013,YES,18284
chr10,68419321,68433685,YES,14365
chr10,84460680,84474175,YES,13496
chr10,13756263,13769442,YES,13180
chr10,59660158,59672413,YES,12256
chr10,31316586,31324035,YES,7450
chr10,76928675,76934117,YES,5443
chr10,74579802,74584226,YES,4425
chr10,59272895,59276954,YES,4060
chr10,80374062,80377545,YES,3484
chr10,76689608,76692695,YES,3088
chr10,12540833,12543578,YES,2746
chr10,27336923,27337819,YES,897
chr10,69667126,69667887,YES,762
chr10,68670790,68671469,YES,680
chr10,44796237,44796850,YES,614
chr10,79396909,79397471,YES,563
chr10,25253621,25254155,YES,535
chr10,118077219,118077732,YES,514
chr10,5507960,5508441,YES,482
chr10,45031396,45031863,YES,468
chr10,70755052,70755496,YES,445
chr11,11723868,11757367,YES,33500
chr11,51256148,51273627,YES,17480
chr11,66919161,66933530,YES,14370
chr11,59125619,59136899,YES,11281
chr11,116147026,116158026,YES,11001
chr11,78860860,78870705,YES,9846
chr11,71790316,71799227,YES,8912
chr11,88364523,88373381,YES,8859
chr11,43732860,43740917,YES,8058
chr11,76300628,76307784,YES,7157
chr11,88460765,88467053,YES,6289
