chrom,start,end,label,length
chr1,203236142,203298141,YES,62000
chr1,145137736,145203209,YES,65474
chr1,120618167,120680059,YES,61893
chr1,118148646,118230163,YES,81518
chr1,154907507,154929856,YES,22350
chr1,145426956,145458154,YES,31199
chr1,154369967,154394484,YES,24518
chr1,161740273,161786764,YES,46492
chr1,192475810,192520800,YES,44991
chr1,160675991,160715535,YES,39545
chr1,206727071,206743416,YES,16346
chr1,209261473,209286148,YES,24676
chr1,156115294,156137251,YES,21958
chr1,144954238,144971537,YES,17300
chr1,144681892,144696222,YES,14331
chr1,206272488,206311365,YES,38878
chr1,31214270,31233570,YES,19301
chr1,234734141,234750421,YES,16281
chr1,230238380,230287187,YES,48808
chr1,178544604,178553259,YES,8656
chr1,150532235,150541859,YES,9625
chr1,192540473,192579469,YES,38997
chr1,160633693,160656405,YES,22713
chr1,226127267,226134776,YES,7510
chr1,183808897,183815270,YES,6374
chr1,152006516,152021814,YES,15299
chr1,226838812,226852440,YES,13629
chr1,155943835,155954686,YES,10852
chr1,66735988,66750737,YES,14750
chr1,206955558,207007601,YES,52044
chr1,24512289,24533910,YES,21622
chr1,197730001,197749526,YES,19526
chr1,226296815,226317236,YES,20422
chr1,167585698,167612203,YES,26506
chr1,168284437,168318211,YES,33775
chr1,204474465,204491714,YES,17250
chr1,211690031,211705065,YES,15035
chr1,44279260,44305828,YES,26569
chr1,23849767,23859064,YES,9298
chr1,40845348,40858012,YES,12665
chr1,111158477,111181742,YES,23266
chr1,240073678,240082650,YES,8973
chr1,161144728,161157832,YES,13105
chr1,205252499,205258684,YES,6186
chr1,40030713,40065656,YES,34944
chr1,207092788,207098586,YES,5799
chr1,67221651,67245984,YES,24334
chr1,187000645,187022107,YES,21463
chr1,175175484,175181938,YES,6455
chr1,174923025,174942040,YES,19016
chr1,27743024,27792274,YES,49251
chr1,27018070,27030935,YES,12866
chr1,88051931,88061824,YES,9894
chr1,203706438,203725791,YES,19354
chr1,198636959,198666114,YES,29156
chr1,157474779,157495767,YES,20989
chr1,158978105,158986667,YES,8563
chr1,184710521,184718989,YES,8469
chr1,66795853,66817256,YES,21404
chr1,212807449,212831497,YES,24049
chr1,42333300,42365108,YES,31809
chr1,39972099,39993196,YES,21098
chr1,183438580,183451230,YES,12651
chr1,225613334,225634752,YES,21419
chr1,14230513,14256430,YES,25918
chr1,174957528,174970786,YES,13259
chr1,87791586,87803618,YES,12033
chr1,211525595,211546460,YES,20866
chr1,187152353,187158402,YES,6050
chr1,154296915,154302479,YES,5565
chr10,11201953,11223381,YES,21429
chr10,7511587,7537065,YES,25479
chr10,125822136,125842463,YES,20328
chr10,112600001,112628738,YES,28738
chr10,104512174,104558447,YES,46274
chr10,15824513,15837376,YES,12864
chr10,6961557,6973232,YES,11676
chr10,11282069,11312697,YES,30629
chr10,112146730,112185396,YES,38667
chr10,112112730,112119838,YES,7109
chr10,98016715,98051532,YES,34818
chr10,72236779,72270646,YES,33868
chr10,112201172,112226248,YES,25077
chr10,30988638,30997016,YES,8379
chr10,45904007,45932205,YES,28199
chr10,90142925,90152757,YES,9833
chr10,63797437,63814747,YES,17311
chr10,81001261,81016680,YES,15420
chr10,74006912,74025011,YES,18100
chr10,63656518,63664594,YES,8077
chr10,130853594,130874897,YES,21304
chr10,45388466,45396358,YES,7893
chr10,126406878,126438470,YES,31593
chr10,5935176,5949191,YES,14016
chr10,94868553,94886554,YES,18002
chr10,81946477,81966407,YES,19931
chr11,22655596,22704787,YES,49192
chr11,128585163,128630250,YES,45088
chr11,26072189,26135374,YES,63186
chr11,10323591,10345357,YES,21767
chr11,19449290,19466257,YES,16968
chr11,72850428,72870499,YES,20072
chr11,65183236,65209856,YES,26621
chr11,115088562,115102550,YES,13989
chr11,111234744,111260783,YES,26040
chr11,65263486,65278710,YES,15225
chr11,60601635,60613454,YES,11820
chr11,132218091,132231557,YES,13467
chr11,115125398,115137680,YES,12283
chr11,129221268,129249855,YES,28588
chr11,126056632,126069283,YES,12652
chr11,58340442,58348087,YES,7646
chr11,128274108,128286677,YES,12570
chr11,128473532,128502256,YES,28725
chr11,109816153,109857093,YES,40941
chr11,95917618,95950842,YES,33225
chr11,35126797,35168565,YES,41769
chr11,82764820,82790460,YES,25641
chr11,130696401,130720288,YES,23888
chr11,5247452,5263932,YES,16481
chr11,77146747,77183114,YES,36368
chr11,35183586,35205449,YES,21864
chr11,43928048,43945475,YES,17428
chr11,74659013,74669474,YES,10462
chr11,122930881,122941986,YES,11106
chr12,12866480,12882430,YES,15951
chr12,53588680,53603769,YES,15090
chr12,92930346,92964717,YES,34372
chr12,32608322,32651688,YES,43367
chr12,94583135,94603649,YES,20515
chr12,76327975,76373012,YES,45038
chr12,27295498,27340699,YES,45202
chr12,109009661,109032010,YES,22350
chr12,41152863,41187447,YES,34585
chr12,48200642,48231789,YES,31148
chr12,92564640,92605306,YES,40667
chr12,46909532,46955601,YES,46070
chr12,108953666,108970624,YES,16959
chr12,94541288,94570566,YES,29279
chr12,10186131,10224091,YES,37961
chr12,46764104,46798750,YES,34647
chr12,102119247,102141139,YES,21893
chr12,57077342,57120051,YES,42710
chr12,109057060,109099003,YES,41944
chr12,15100748,15116705,YES,15958
chr12,4215910,4231254,YES,15345
chr12,102870591,102879403,YES,8813
chr12,26265554,26280531,YES,14978
chr12,89727363,89749582,YES,22220
chr12,92753997,92769632,YES,15636
chr12,32664322,32689462,YES,25141
chr12,11901535,11935067,YES,33533
chr12,123355207,123387000,YES,31794
chr12,46119408,46132944,YES,13537
chr12,68380154,68387387,YES,7234
chr12,96888748,96910912,YES,22165
chr12,109164823,109181314,YES,16492
chr12,101628434,101644732,YES,16299
chr12,22830665,22849166,YES,18502
chr12,27372740,27399890,YES,27151
chr12,6554462,6572335,YES,17874
chr12,51712145,51724319,YES,12175
chr12,68844211,68878368,YES,34158
chr12,4377650,4387776,YES,10127
