chrom,start,end,label,length
chr1,33328569,33339168,YES,10600
chr1,33622608,33635922,YES,13315
chr1,36356072,36366897,YES,10826
chr1,51161412,51168344,YES,6933
chr1,64341729,64352413,YES,10685
chr1,88110721,88130693,YES,19973
chr1,88326457,88339844,YES,13388
chr1,88388707,88409213,YES,20507
chr1,89516600,89556311,YES,39712
chr1,89743208,89763671,YES,20464
chr1,130487158,130512399,YES,25242
chr1,130592490,130602181,YES,9692
chr1,133904391,133908020,YES,3630
chr1,135956824,135976338,YES,19515
chr1,145763395,145766717,YES,3323
chr1,145821501,145854110,YES,32610
chr1,146154029,146177941,YES,23913
chr1,156897127,156956881,YES,59755
chr1,167630837,167655446,YES,24610
chr1,173476666,173497365,YES,20700
chr1,173847458,173851792,YES,4335
chr1,174442928,174459253,YES,16326
chr1,179357844,179376290,YES,18447
chr1,179397102,179425784,YES,28683
chr1,183770162,183791194,YES,21033
chr2,3573886,3586514,YES,12629
chr2,6616460,6647554,YES,31095
chr2,10887451,10901370,YES,13920
chr2,10920821,10938482,YES,17662
chr2,11544567,11559421,YES,14855
chr2,11574925,11584808,YES,9884
chr2,25038855,25052616,YES,13762
chr2,28461366,28486030,YES,24665
chr2,31933407,31940642,YES,7236
chr2,32487156,32494045,YES,6890
chr2,32565648,32583394,YES,17747
chr2,35350841,35363091,YES,12251
chr2,71360593,71372808,YES,12216
chr2,90481610,90517483,YES,35874
chr2,93001864,93035217,YES,33354
chr2,101438637,101441161,YES,2525
chr2,101876887,101897718,YES,20832
chr2,116780735,116816564,YES,35830
chr2,118359728,118393242,YES,33515
chr2,119177392,119189714,YES,12323
chr2,124558318,124598394,YES,40077
chr2,127135843,127164193,YES,28351
chr2,129001282,129012452,YES,11171
chr2,131712211,131729231,YES,17021
chr2,131829688,131890416,YES,60729
chr2,132091005,132119741,YES,28737
chr2,144039241,144083972,YES,44732
chr2,148384072,148405166,YES,21095
chr2,152614387,152620697,YES,6311
chr2,163413144,163428867,YES,15724
chr2,163468105,163471925,YES,3821
chr2,165771515,165783157,YES,11643
chr2,169979616,170010543,YES,30928
chr2,180166986,180181100,YES,14115
chr3,14871233,14887998,YES,16766
chr3,32554289,32557396,YES,3108
chr3,52194661,52205028,YES,10368
chr3,52247549,52285042,YES,37494
chr3,52358920,52377376,YES,18457
chr3,52434105,52443339,YES,9235
chr3,53774347,53799582,YES,25236
chr3,59006154,59039949,YES,33796
chr3,59064052,59067220,YES,3169
chr3,68480756,68513491,YES,32736
chr3,83867057,83879212,YES,12156
chr3,87942001,87953696,YES,11696
chr3,95449171,95480090,YES,30920
chr3,95775936,95794675,YES,18740
chr3,96055698,96067554,YES,11857
chr3,96360910,96384423,YES,23514
chr3,107619018,107633849,YES,14832
chr3,115381841,115405462,YES,23622
chr3,126506515,126533140,YES,26626
chr3,130809450,130821290,YES,11841
chr4,8837489,8855090,YES,17602
chr4,10891839,10904177,YES,12339
chr4,43467233,43506130,YES,38898
chr4,44884408,44903218,YES,18811
chr4,59453828,59458862,YES,5035
chr4,63046730,63078740,YES,32011
chr4,95432045,95458474,YES,26430
chr4,95489642,95517868,YES,28227
chr4,97753549,97780836,YES,27288
chr4,100956462,100971600,YES,15139
chr4,102238146,102258551,YES,20406
chr4,122515637,122581347,YES,65711
chr4,131825599,131826308,YES,710
chr4,133205861,133230302,YES,24442
chr4,133312116,133331227,YES,19112
chr4,133648366,133677823,YES,29458
chr4,137344417,137353387,YES,8971
chr4,139294548,139310576,YES,16029
chr4,149070110,149085013,YES,14904
chr4,149433832,149453120,YES,19289
chr4,154608883,154624505,YES,15623
chr5,3490217,3505958,YES,15742
chr5,16504824,16513233,YES,8410
