chrom,start,end,label,length
chr1,54737815,54824804,YES,86990
chr1,201976438,202095124,YES,118687
chr1,61322651,61403200,YES,80550
chr1,16944896,16994307,YES,49412
chr1,234734280,234758692,YES,24413
chr1,10809486,10898295,YES,88810
chr1,232629243,232705325,YES,76083
chr1,201601831,201691611,YES,89781
chr1,144006179,144030575,YES,24397
chr1,27822991,27857256,YES,34266
chr1,53965273,54021096,YES,55824
chr1,202158074,202221745,YES,63672
chr1,27886818,27931429,YES,44612
chr1,53572884,53640408,YES,67525
chr1,41806110,41882720,YES,76611
chr1,26053801,26102442,YES,48642
chr1,10684720,10756047,YES,71328
chr1,156425921,156475557,YES,49637
chr1,60685802,60703063,YES,17262
chr1,234833091,234883367,YES,50277
chr1,44023245,44056755,YES,33511
chr1,17216782,17276609,YES,59828
chr1,243856401,243887956,YES,31556
chr1,230870617,230897677,YES,27061
chr1,2361484,2404578,YES,43095
chr1,112418935,112465003,YES,46069
chr1,182570162,182605588,YES,35427
chr1,234623970,234683588,YES,59619
chr1,77778124,77821130,YES,43007
chr1,237477788,237505575,YES,27788
chr1,9882283,9954563,YES,72281
chr1,33801798,33846104,YES,44307
chr1,17010030,17035649,YES,25620
chr1,27179787,27193083,YES,13297
chr1,19248059,19277270,YES,29212
chr1,160329380,160345967,YES,16588
chr1,21878954,21920758,YES,41805
chr1,204282160,204331474,YES,49315
chr1,2230327,2277547,YES,47221
chr1,10568472,10617498,YES,49027
chr1,33335505,33361490,YES,25986
chr1,17968901,18053050,YES,84150
chr1,154971223,154992995,YES,21773
chr1,50568079,50584493,YES,16415
chr1,116785977,116817477,YES,31501
chr1,16532412,16577014,YES,44603
chr1,61689034,61723112,YES,34079
chr1,22533258,22590833,YES,57576
chr1,1364422,1373917,YES,9496
chr1,18550563,18583847,YES,33285
chr1,22936716,22956749,YES,20034
chr1,108071653,108094842,YES,23190
chr1,180122808,180153927,YES,31120
chr10,112522263,112634105,YES,111843
chr10,71605349,71663943,YES,58595
chr10,97052919,97088043,YES,35125
chr11,44956565,45021149,YES,64585
chr11,45039955,45080805,YES,40851
chr11,65238836,65277453,YES,38618
chr11,86191477,86207245,YES,15769
chr11,47987470,48048145,YES,60676
chr11,33911473,33938420,YES,26948
chr11,22355269,22373154,YES,17886
chr11,111167706,111183941,YES,16236
chr11,45100500,45125184,YES,24685
chr11,32007151,32030271,YES,23121
chr11,44730988,44800447,YES,69460
chr11,78631165,78674279,YES,43115
chr11,86378295,86386635,YES,8341
chr11,45353512,45395703,YES,42192
chr11,111588743,111634840,YES,46098
chr11,60833185,60860277,YES,27093
chr11,46002844,46025690,YES,22847
chr11,45530868,45561318,YES,30451
chr11,27221693,27256736,YES,35044
chr11,111272888,111312638,YES,39751
chr11,56918801,56933195,YES,14395
chr12,1904329,1973178,YES,68850
chr12,55380760,55466269,YES,85510
chr12,2022597,2049799,YES,27203
chr12,7518487,7531440,YES,12954
chr12,3308244,3362821,YES,54578
chr12,7069246,7076094,YES,6849
chr12,6870347,6882059,YES,11713
chr12,27898856,27912522,YES,13667
chr12,27931043,27936591,YES,5549
chr12,131686600,131771342,YES,84743
chr12,3812788,3836219,YES,23432
chr12,7032434,7039694,YES,7261
chr12,7050709,7057158,YES,6450
chr12,125134805,125250727,YES,115923
chr12,123538354,123636345,YES,97992
chr12,109079688,109126947,YES,47260
chr12,8228196,8237733,YES,9538
chr12,49580875,49629377,YES,48503
chr12,6738872,6751198,YES,12327
chr12,2189654,2196967,YES,7314
chr12,8177587,8181394,YES,3808
chr12,124993834,125074354,YES,80521
chr12,6934006,6939903,YES,5898
chr12,6959285,6964637,YES,5353
chr12,110073936,110168193,YES,94258
chr12,6710558,6724233,YES,13676
chr12,6974813,6983567,YES,8755
chr12,7021310,7026081,YES,4772
chr12,7122376,7127664,YES,5289
chr12,50432126,50452581,YES,20456
chr12,6640726,6645978,YES,5253
chr12,57627489,57639713,YES,12225
chr12,63086720,63135576,YES,48857
chr12,50257062,50308706,YES,51645
chr12,52540418,52604079,YES,63662
chr12,124871829,124909084,YES,37256
chr13,52355871,52411905,YES,56035
chr13,72084056,72102756,YES,18701
chr13,53739681,53793118,YES,53438
chr13,60016317,60033896,YES,17580
chr13,100307983,100340374,YES,32392
chr13,72426833,72454343,YES,27511
chr14,100880989,101160433,YES,279445
chr14,23445049,23495941,YES,50893
chr14,77490854,77537463,YES,46610
chr14,77370761,77424488,YES,53728
chr14,106307959,106337737,YES,29779
chr14,81420729,81454620,YES,33892
chr14,106145575,106171606,YES,26032
chr14,106025096,106051403,YES,26308
chr14,55556020,55594550,YES,38531
chr14,90974537,90992570,YES,18034
chr14,75098154,75117356,YES,19203
chr14,76392300,76449481,YES,57182
chr14,94428688,94468537,YES,39850
chr14,66531266,66572219,YES,40954
chr14,74854248,74893412,YES,39165
chr14,60191219,60222964,YES,31746
chr15,69270402,69311953,YES,41552
chr15,31498214,31601710,YES,103497
chr15,31616159,31696710,YES,80552
chr15,93350953,93387498,YES,36546
chr15,74492449,74553182,YES,60734
chr15,69409534,69455072,YES,45539
chr15,66430122,66466699,YES,36578
chr15,75106992,75127324,YES,20333
chr15,31738557,31781465,YES,42909
chr15,46590162,46619132,YES,28971
chr15,70633869,70680280,YES,46412
chr15,47796548,47815987,YES,19440
chr15,66246249,66276237,YES,29989
chr15,75468603,75497184,YES,28582
chr15,40383375,40407605,YES,24231
chr16,85224742,85519911,YES,295170
chr16,49496043,49631366,YES,135324
chr16,11097954,11208160,YES,110207
chr16,70718442,70751043,YES,32602
chr16,2513612,2541592,YES,27981
chr16,75278516,75322217,YES,43702
chr16,29814941,29828964,YES,14024
chr16,48986315,49008189,YES,21875
chr16,84025074,84097739,YES,72666
chr16,49867274,49894227,YES,26954
chr16,27774783,27813953,YES,39171
chr16,11872846,11892778,YES,19933
chr17,55578198,55692721,YES,114524
chr17,18864349,18938541,YES,74193
chr17,55944917,56034454,YES,89538
chr17,75763917,75818726,YES,54810
chr17,57427193,57485058,YES,57866
chr17,1672534,1704787,YES,32254
chr17,17717430,17790939,YES,73510
chr17,43046633,43101860,YES,55228
chr17,3782275,3834937,YES,52663
chr17,46056905,46102735,YES,45831
chr17,2785677,2835732,YES,50056
chr17,17625519,17663840,YES,38322
chr17,38212076,38232672,YES,20597
chr17,70460579,70537236,YES,76658
