chrom,start,end,label,length
chr1,108441271,108544500,YES,103230
chr1,132876002,132957291,YES,81290
chr1,132975935,133052464,YES,76530
chr1,163664345,163739999,YES,75655
chr1,36291891,36366881,YES,74991
chr1,60996807,61061186,YES,64380
chr1,140026173,140089228,YES,63056
chr1,135945308,136008057,YES,62750
chr1,39953283,40014004,YES,60722
chr1,60879672,60940063,YES,60392
chr1,39579474,39636423,YES,56950
chr1,146078038,146130865,YES,52828
chr1,167619497,167666619,YES,47123
chr1,61079463,61125346,YES,45884
chr1,80719895,80762656,YES,42762
chr1,51555896,51596345,YES,40450
chr1,132760823,132801253,YES,40431
chr1,184434228,184473972,YES,39745
chr1,165991363,166028918,YES,37556
chr1,166053951,166091404,YES,37454
chr1,146147720,146185135,YES,37416
chr1,138496697,138533831,YES,37135
chr1,58768335,58804172,YES,35838
chr1,60801136,60835829,YES,34694
chr1,156872858,156907322,YES,34465
chr1,173557775,173591982,YES,34208
chr1,173691802,173723197,YES,31396
chr1,88398089,88429288,YES,31200
chr1,51627496,51657639,YES,30144
chr1,140172406,140201397,YES,28992
chr1,182317358,182340856,YES,23499
chr1,193004055,193026393,YES,22339
chr1,60955536,60977854,YES,22319
chr1,40435584,40456803,YES,21220
chr1,82815654,82836618,YES,20965
chr1,92948863,92966648,YES,17786
chr1,90472353,90488077,YES,15725
chr10,80933278,81034520,YES,101243
chr10,59355786,59443923,YES,88138
chr10,117273455,117357093,YES,83639
chr10,92586567,92666943,YES,80377
chr10,126544412,126617828,YES,73417
chr10,117872063,117945166,YES,73104
chr10,80024044,80092145,YES,68102
chr10,39175476,39240601,YES,65126
chr10,18887621,18947051,YES,59431
chr10,44120231,44179047,YES,58817
chr10,74735847,74790007,YES,54161
chr10,96075831,96127083,YES,51253
chr10,95787895,95837775,YES,49881
chr10,117807408,117856695,YES,49288
chr10,13733844,13780369,YES,46526
chr10,126467334,126513555,YES,46222
chr10,79600012,79642628,YES,42617
chr10,39115451,39156912,YES,41462
chr10,95663463,95702190,YES,38728
chr10,19211251,19249914,YES,38664
chr10,92795148,92833591,YES,38444
chr10,127078743,127115414,YES,36672
chr10,7529764,7565010,YES,35247
chr10,13684233,13719109,YES,34877
chr10,59837064,59871079,YES,34016
chr10,80204770,80237839,YES,33070
chr10,76972364,77000803,YES,28440
chr10,80138797,80166057,YES,27261
chr10,80380575,80403495,YES,22921
chr10,80748447,80767977,YES,19531
chr11,98960042,99065668,YES,105627
chr11,116212611,116307752,YES,95142
chr11,96927110,97020824,YES,93715
chr11,96828195,96912552,YES,84358
chr11,69689609,69762832,YES,73224
chr11,61410879,61483961,YES,73083
chr11,33902164,33974188,YES,72025
chr11,57981627,58053287,YES,71661
chr11,70561301,70629703,YES,68403
chr11,117153481,117221551,YES,68071
chr11,4103010,4169148,YES,66139
chr11,54021996,54085766,YES,63771
chr11,107278446,107341311,YES,62866
chr11,46157035,46218614,YES,61580
chr11,86381928,86443292,YES,61365
chr11,118061387,118122056,YES,60670
chr11,11583126,11643114,YES,59989
chr11,74966748,75021775,YES,55028
chr11,46234599,46288287,YES,53689
chr11,98793824,98844399,YES,50576
chr11,69793412,69843822,YES,50411
chr11,115013840,115064059,YES,50220
chr11,79454251,79500712,YES,46462
chr11,52067418,52113615,YES,46198
chr11,97658204,97702714,YES,44511
chr11,82852762,82893737,YES,40976
chr11,87533857,87574776,YES,40920
chr11,59912604,59953366,YES,40763
chr11,70015115,70053927,YES,38813
chr11,68901614,68939565,YES,37952
chr11,69208953,69246001,YES,37049
chr11,68245259,68282135,YES,36877
chr11,117847851,117883484,YES,35634
chr11,115488899,115522284,YES,33386
chr11,11444078,11474129,YES,30052
chr11,109274361,109302886,YES,28526
chr11,46113498,46140850,YES,27353
chr11,83450145,83476324,YES,26180
chr11,78942710,78966583,YES,23874
chr11,69475516,69496723,YES,21208
chr11,57764564,57784298,YES,19735
chr11,74643197,74661851,YES,18655
chr11,117813395,117832029,YES,18635
chr11,83285922,83286836,YES,915
chr11,108872807,108873485,YES,679
chr12,74646597,74764855,YES,118259
chr12,102190417,102268095,YES,77679
chr12,15968568,16021258,YES,52691
chr12,88127683,88178050,YES,50368
chr12,109199173,109249265,YES,50093
