chrom,start,end,label,length
chr1,145072355,145163947,YES,91593
chr1,201664006,201763058,YES,99053
chr1,59543107,59652860,YES,109754
chr1,8135491,8202156,YES,66666
chr1,120591272,120636913,YES,45642
chr1,145182810,145230056,YES,47247
chr1,144885686,144942996,YES,57311
chr1,100021851,100088125,YES,66275
chr1,25632240,25713181,YES,80942
chr1,59280213,59353275,YES,73063
chr1,120657714,120697280,YES,39567
chr1,66681864,66768043,YES,86180
chr1,224683043,224754317,YES,71275
chr1,9202903,9272380,YES,69478
chr1,224885035,224949015,YES,63981
chr1,7305706,7375164,YES,69459
chr1,234725862,234769053,YES,43192
chr1,43388031,43440072,YES,52042
chr1,42193950,42278279,YES,84330
chr1,33874197,33940404,YES,66208
chr1,16263477,16295464,YES,31988
chr1,203473037,203529603,YES,56567
chr1,100108302,100152688,YES,44387
chr1,8053591,8122345,YES,68755
chr1,145007593,145046201,YES,38609
chr1,240391977,240423413,YES,31437
chr1,201413517,201473864,YES,60348
chr1,39850234,39878235,YES,28002
chr1,95171551,95220502,YES,48952
chr1,156065931,156100441,YES,34511
chr1,101049564,101097753,YES,48190
chr1,221974668,222061847,YES,87180
chr1,59192069,59249835,YES,57767
chr1,223885535,223920003,YES,34469
chr1,8229122,8279326,YES,50205
chr1,36808066,36854268,YES,46203
chr1,66796015,66863551,YES,67537
chr1,157961332,158010055,YES,48724
chr1,59473624,59529508,YES,55885
chr1,18187478,18206961,YES,19484
chr1,201494568,201532965,YES,38398
chr1,20901387,20943831,YES,42445
chr1,23880611,23920006,YES,39396
chr1,8931253,8969354,YES,38102
chr1,235090847,235149251,YES,58405
chr1,19747388,19782128,YES,34741
chr1,214589301,214629986,YES,40686
chr1,151940697,151974921,YES,34225
chr1,218632549,218673684,YES,41136
chr1,77999085,78013051,YES,13967
chr1,108576325,108615689,YES,39365
chr1,33797422,33815590,YES,18169
chr1,155929677,155959896,YES,30220
chr1,21620191,21665484,YES,45294
chr1,219595400,219639325,YES,43926
chr1,36599115,36639561,YES,40447
chr1,52389297,52440512,YES,51216
chr1,112274212,112290099,YES,15888
chr1,83598214,83632672,YES,34459
chr1,170653841,170684524,YES,30684
chr1,227501817,227561212,YES,59396
chr1,12652034,12680653,YES,28620
chr1,159044402,159084252,YES,39851
chr1,30159108,30191966,YES,32859
chr1,108475239,108486086,YES,10848
chr1,183235199,183251421,YES,16223
chr1,186144401,186178497,YES,34097
chr1,21559329,21589962,YES,30634
chr1,108532557,108561287,YES,28731
chr1,37936737,37953592,YES,16856
chr1,119487159,119507988,YES,20830
chr1,205888350,205922272,YES,33923
chr1,32154314,32181642,YES,27329
chr1,77407670,77428352,YES,20683
chr1,13909842,13933214,YES,23373
chr1,224803044,224840981,YES,37938
chr1,54684550,54721677,YES,37128
chr1,150575475,150593851,YES,18377
chr1,60157765,60174530,YES,16766
chr1,110825685,110856332,YES,30648
chr1,150120495,150136516,YES,16022
chr1,30040354,30067418,YES,27065
chr1,214722551,214756307,YES,33757
chr1,113476421,113481705,YES,5285
chr1,159797754,159825565,YES,27812
chr1,161695279,161714457,YES,19179
chr1,25030807,25081445,YES,50639
chr1,117529960,117553115,YES,23156
chr1,181046370,181083128,YES,36759
chr1,221603926,221632605,YES,28680
chr1,20725938,20754214,YES,28277
chr1,192753956,192779405,YES,25450
chr1,117461819,117474652,YES,12834
chr1,32396402,32422618,YES,26217
chr1,119521201,119554897,YES,33697
