chrom,start,end,label
chr1,13071010,13071067,YES
chr1,169209346,169209861,YES
chr1,138586629,138587185,YES
chr1,13078042,13078601,YES
chr1,183961213,183961841,YES
chr1,91772864,91773527,YES
chr1,72857535,72858199,YES
chr1,137071028,137071701,YES
chr1,182863625,182864307,YES
chr1,84878604,84879300,YES
chr1,169212040,169212737,YES
chr1,13049615,13050323,YES
chr1,84857219,84857928,YES
chr1,13061206,13061924,YES
chr1,37039139,37039872,YES
chr1,72839563,72840296,YES
chr1,72260528,72261272,YES
chr1,13084566,13085326,YES
chr1,169201106,169201873,YES
chr1,13093990,13094765,YES
chr1,36111164,36111952,YES
chr1,34133846,34134640,YES
chr1,138591254,138592054,YES
chr1,168072277,168073079,YES
chr1,84863217,84864024,YES
chr1,183948212,183949027,YES
chr1,36073779,36074608,YES
chr1,120542039,120542868,YES
chr1,138592293,138593131,YES
chr1,37043480,37044320,YES
chr1,168065148,168065991,YES
chr1,138847583,138848433,YES
chr1,137082347,137083206,YES
chr1,182818684,182819554,YES
chr1,91766947,91767819,YES
chr1,84886218,84887132,YES
chr1,138841643,138842570,YES
chr1,121295085,121296031,YES
chr1,154939988,154940954,YES
chr1,169219450,169220423,YES
chr1,37042371,37043393,YES
chr1,121201424,121202481,YES
chr1,37044340,37045411,YES
chr1,168054897,168055983,YES
chr1,182854521,182855608,YES
chr1,72852241,72853381,YES
chr1,120538712,120539858,YES
chr1,84868305,84869458,YES
chr1,120544250,120545414,YES
chr1,183959983,183961151,YES
chr1,13074460,13075741,YES
chr1,37040357,37041747,YES
chr1,137094854,137096284,YES
chr1,36070190,36071796,YES
chr1,154942077,154943709,YES
chr1,13063645,13065360,YES
chr1,120971968,120973737,YES
chr1,34130107,34131910,YES
chr1,36116855,36118698,YES
chr1,138849067,138850970,YES
chr10,76655655,76656039,YES
chr10,59427223,59427738,YES
chr10,76661806,76662360,YES
chr10,20802131,20802699,YES
chr10,59426336,59426915,YES
chr10,66563623,66564235,YES
chr10,85005927,85006553,YES
chr10,79508474,79509130,YES
chr10,21700576,21701235,YES
chr10,75335464,75336154,YES
chr10,79509437,79510144,YES
chr10,20807410,20808136,YES
chr10,59435086,59435840,YES
chr10,44110139,44110895,YES
chr10,20829440,20830236,YES
chr10,21701869,21702685,YES
chr10,76656053,76656897,YES
chr10,21546502,21547353,YES
chr10,39977900,39978752,YES
chr10,66562711,66563566,YES
chr10,62358037,62358895,YES
chr10,66558405,66559270,YES
chr10,59436644,59437537,YES
chr10,66380351,66381255,YES
chr10,62360653,62361563,YES
